ID,Context,Left_Label,Right_Label,Difficulty
96,Internet Culture,Try Hard,Effortless,EASY
97,Internet Culture,Mainstream,Underground,EASY
98,Internet Culture,Attention Seeking,Genuinely Funny,MEDIUM
99,Internet Culture,Forced,Organic,EASY
100,Internet Culture,Boomer Humor,Gen Z Humor,EASY
101,Movies,Pretentious,Accessible,HARD
102,Movies,Forgettable,Culturally Defining,HARD
103,Movies,Technically Flawed,Technical Masterpiece,HARD
104,Movies,Derivative,Groundbreaking,HARD
105,Movies,Emotionally Manipulative,Genuine Emotion,HARD
106,Food,Appropriation,Authentic,HARD
107,Food,Acquired Taste,Universally Loved,HARD
108,Food,Processed Garbage,Whole Food,HARD
109,Food,Regional Delicacy,Global Staple,HARD
110,Food,Molecular Gastronomy,Traditional Cooking,HARD
111,Gaming,Mechanical Perfection,Narrative Excellence,HARD
112,Gaming,Toxic Community,Wholesome Fanbase,HARD
113,Gaming,Asset Flip,Original IP,HARD
114,Gaming,Streamer Bait,Actually Fun,HARD
115,Gaming,Artistic Vision,Market Pandering,HARD
116,Technology,Vaporware,Delivered Product,HARD
117,Technology,Planned Obsolescence,Built to Last,HARD
118,Technology,Open Source,Walled Garden,HARD
119,Technology,Disruptive Innovation,Incremental Update,HARD
120,Technology,Techbro Solution,Actual Problem Solving,HARD
121,Social Media,Echo Chamber,Diverse Perspectives,HARD
122,Social Media,Astroturfed,Grassroots,HARD
123,Social Media,Rage Bait,Thoughtful Discourse,HARD
124,Social Media,Performative Activism,Real Impact,HARD
125,Social Media,Parasocial Nightmare,Healthy Boundaries,HARD
126,Life Skills,Privilege,Necessity,HARD
127,Life Skills,Soft Skill,Hard Skill,HARD
128,Life Skills,Book Smart,Street Smart,HARD
129,Life Skills,Performative,Substantive,HARD
130,Life Skills,Theory,Practice,HARD
131,Relationships,Love Language Mismatch,Perfect Compatibility,HARD
132,Relationships,Codependent,Interdependent,HARD
133,Relationships,Trauma Bonding,Genuine Connection,HARD
134,Relationships,Settling,Choosing,HARD
135,Relationships,Passion,Stability,HARD
136,Lifestyle,Consumption,Creation,HARD
137,Lifestyle,Performative Wellness,Actual Health,HARD
138,Lifestyle,Survivorship Bias,Legitimate Advice,HARD
139,Lifestyle,FOMO,JOMO,HARD
140,Lifestyle,Grindset,Work-Life Balance,HARD
141,Entertainment,Fanservice,Artist's Vision,HARD
142,Entertainment,Derivative,Homage,HARD
143,Entertainment,Problematic,Progressive,HARD
144,Entertainment,Lowest Common Denominator,Niche Excellence,HARD
145,Entertainment,Formulaic,Experimental,HARD
146,Internet Culture,Irony Poisoned,Sincere,HARD
147,Internet Culture,Chronically Online Take,Grass-Touching Opinion,HARD
148,Internet Culture,Context Collapse,Niche Reference,HARD
149,Internet Culture,Cancel Worthy,Forgivable,HARD
150,Internet Culture,Terminally Online,Normcore,HARD
